icao_code,telephony,company_name,country,is_virtual,notes
CRJ,AIR CRUZAL,AIR CRUZAL,ANGOLA,f,
CRK,BAUHINIA,HONG KONG AIRLINES LTD,CHINA,f,
CRL,CORSAIR,CORSAIR,FRANCE,f,
CRM,COMMANDERMEX,"COMMANDER MEXICANA, S.A. DE C.V.",MEXICO,f,
CRN,CARSON,CARSON AIR LTD.,CANADA,f,
CRO,CROWN AIRWAYS,"CROWN AIRWAYS, INC. (DUBOIS, PA)",UNITED STATES,f,
CRP,AEROTRANSCORP,"AEROTRANSPORTES CORPORATIVOS, S.A. DE C.V.",MEXICO,f,
CRQ,CREE,AIR CREEBEC,CANADA,f,
CRR,RAILCAR,CANADIAN PACIFIC RAILWAY,CANADA,f,
CRS,COMERCIAL AEREA,"COMERCIAL AEREA, S.A. DE C.V.",MEXICO,f,
CRT,CARIBINTAIR,CARIBINTAIR S.A.,HAITI,f,
CRU,VIC-STARLIT,"SERVICIOS STARLIT CARUSO, S.A. DE C.V.",MEXICO,f,
CRV,ACROPOLIS,ACROPOLIS AVIATION LTD,UNITED KINGDOM,f,
CRW,CENTRAL AMERICAN,CENTRAL AMERICAN AIRWAYS,HONDURAS,f,
CRX,CROSSAIR,CROSS AVIATION LTD,UNITED KINGDOM,f,
CRY,CERNEY,SOUTH CERNEY,UNITED KINGDOM,f,
CSA,CSA-LINES,CZECH AIRLINES J.S.C.,CZECHIA,f,
CSB,CARGO SOUTH,"21-AIR, LLC",UNITED STATES,f,
CSC,SI CHUAN,SI CHUAN AIRLINES,CHINA,f,
CSD,DELIVERY,"COURIER SERVICES, INC. (TEMPE, AZ)",UNITED STATES,f,
CSF,CALEDONIAN,CLASAIR,UNITED KINGDOM,f,
CSG,SOUTHERN CARGO,CHINA SOUTHERN AIRLINES CARGO,CHINA,f,
CSH,SHANGHAI AIR,SHANGHAI AIRLINES,CHINA,f,
CSI,SANDIA,"CSI AVIATION, INC.",UNITED STATES,f,
CSJ,CASTLE,"CASTLE AVIATION, INC. (RAVENNA, OH)",UNITED STATES,f,
CSK,CASCADE,"FLIGHTCRAFT, INC. (PORTLAND, OR)",UNITED STATES,f,
CSL,CALIFORNIA SHUTTLE,"MINSON AVIATION, INC. D/B/A CALIFORNIA AIR SHUTTLE (OXNARD, CA)",UNITED STATES,f,
CSM,CSM SERVICIOS,"CSM SERVICIOS, S.A. DE C.V.",MEXICO,f,
CSN,CHINA SOUTHERN,CHINA SOUTHERN AIRLINES,CHINA,f,
CSO,CASAIR,"CASINO AIRLINES, INC. (SHREVEPORT, LA)",UNITED STATES,f,
CSP,CASPER AIR,"CASPER AIR SERVICE, INC.(CASPER, WY)",UNITED STATES,f,
CSQ,CHASQUI,"IBC AIRWAYS, INC. (MIAMI, FL)",UNITED STATES,f,
CSR,CAESAR,CAE GMBH,GERMANY,f,
CSS,SHUN FENG,SF AIRLINES COMPANY LIMITED,CHINA,f,
CST,SHORELINE,"SHORELINE AVIATION, INC.",UNITED STATES,f,
CSV,COASTAL TRAVEL,COASTAL TRAVELS LIMITED,UNITED REPUBLIC OF TANZANIA,f,
CSW,EIGER,CHAIR AIRLINES AG,SWITZERLAND,f,
CSX,CHOICE AIR,"CHOICE AIRWAYS, INC. (SUNRISE, FL)",UNITED STATES,f,
CSY,SHUANGYANG,SHUANGYANG GENERAL AVIATION CO.,CHINA,f,
CSZ,SHENZHEN AIR,SHENZHEN AIRLINES,CHINA,f,
CTA,CHAR-TRAN,"AERO CHARTER AND TRANSPORT (ALBUQUERQUE, NM)",UNITED STATES,f,
CTB,SUNNYHEART,THOMAS COOK AIRLINES BALEARICS S.L.,SPAIN,f,
CTD,AEROCORPORATIVOS,"AEROCORPORATIVOS, S.A. DE C.V.",MEXICO,f,
CTE,CORNERSTONE,"ATLANTA AIR CHARTER, INC.",UNITED STATES,f,
CTF,CUTTER FLIGHT,CUTTER AVIATION (PHOENIX AZ),UNITED STATES,f,
CTG,CANADIAN COAST GUARD,CANADIAN COAST GUARD,CANADA,f,
CTH,TONGHANG,"EASTERN GENERAL AVIATION CO., LTD",CHINA,f,
CTJ,TIANJIN CARGO,"TIANJIN AIR CARGO CO., LTD.",CHINA,f,
CTK,COSTOCK,EAST MIDLANDS HELICOPTERS,UNITED KINGDOM,f,
CTL,CENTRAL COMMUTER,"CENTRAL AIR SOUTHWEST, INC. (CUSHING, OK)",UNITED STATES,f,
CTM,COTAM,COMMANDEMENT DU TRANSPORT AERIEN MILITAIRE FRANCAIS,FRANCE,f,
CTN,CROATIA,CROATIA AIRLINES,CROATIA,f,
CTP,WOODSIDE,"CTP AVIATION, LLC",UNITED STATES,f,
CTR,CENTAURO,"AEROLINEAS CENTAURO, S.A. DE C.V.",MEXICO,f,
CTS,EXECUTIVE,CHARTERS EJECUTIVOS SA DE CV,MEXICO,f,
CTT,CATT,"CUSTOM AIR TRANSPORT, INC. (DANIA, FL)",UNITED STATES,f,
CTU,CITYWINGS,GLOBUS,RUSSIAN FEDERATION,f,
CTV,SUPERGREEN,CITILINK INDONESIA,INDONESIA,f,
CTW,THIRD CARGO,CARGO THREE INC.,PANAMA,f,
CTY,CENTURY,"CRYDERMAN AIR SERVICE (DRAYTON PLAINS, MI)",UNITED STATES,f,
CUA,CHINA UNITED,"CHINA UNITED AIRLINES CO., LTD.",CHINA,f,
CUB,CUBANA,CUBANA DE AVIACION S.A.,CUBA,f,
CUH,LOULAN,URUMQI AIRLINES CO. LTD.,CHINA,f,
CUJ,CLUB JET,"CLUB JET CHARTER, LLC",UNITED STATES,f,
CUK,CHUKKA,POLO AVIATION LTD,UNITED KINGDOM,f,
CUL,COULSON,COULSON AVIATION USA,UNITED STATES,f,
CUO,CUAHONTE,"AEROCUAHONTE, S.A. DE C.V.",MEXICO,f,
CUS,CUSTOM,AUSTRALIAN CUSTOMS SERVICE - BORDER PROTECTION,AUSTRALIA,f,
CUT,COURT AIR,COURT HELICOPTERS,SOUTH AFRICA,f,
CVA,CHATHAM,AIR TRANSPORT (CHATHAM ISLANDS) LTD,NEW ZEALAND,f,
CVE,KABEX,CABO VERDE EXPRESS,CABO VERDE,f,
CVF,CLOVERLEAF,"DASSAULT FALCON JET CORPORATION (S. HACKENSACK, NJ)",UNITED STATES,f,
CVJ,COMEREJECUTIVA,"COMERCIALIZACION DE AVIACION EJECUTIVA, S.A. DE C.V.",MEXICO,f,
CVK,CARGO LINE,CAVOK AIRLINES,UKRAINE,f,
CVO,CENTERVOL,CENTER VOL S.A.,SPAIN,f,
CVR,CHEVRON,"CHEVRON U.S.A. (NEW ORLEANS, LA)",UNITED STATES,f,
CVS,CONVERS,CONVERS AVIA AIRLINE,RUSSIAN FEDERATION,f,
CVU,CANYON VIEW,"GRAND CANYON AIRLINES, INC. (GRAND CANYON, AZ)",UNITED STATES,f,
CVV,COMERAVIA,COMERCIAL DE AVIACION C.A. (COMERAVIA),VENEZUELA,f,
CVX,CIACA,CENTRO INDUSTRIAL AERONAUTICO C.A. (CIACA),VENEZUELA,f,
CVZ,CARIBE,AEROCARIBE AIRLINES,VENEZUELA,f,
CWA,CAN WEST,CAN WEST CORPORATE AIR CHARTERS LTD.,CANADA,f,
CWC,CHALLENGE CARGO,"CENTURION AIR CARGO, INC. (MIAMI, FL)",UNITED STATES,f,
CWG,CLEAR WING,WING AVIATION,UNITED STATES,f,
CWH,WARPLANE HERITAGE,CANADIAN WARPLANE HERITAGE MUSEUM,CANADA,f,
CWL,CRANWELL,CRANWELL FTU,UNITED KINGDOM,f,
CWM,AIR MARSHALLS,AIR MARSHALL ISLANDS,MARSHALL ISLANDS,f,
CWN,CROWN AIRLINES,CROWN AIRLINES,LIBYA,f,
CWR,CITY WORLD,"BEIJING CITY INTERNATIONAL BUSINESS JET CO., LTD.",CHINA,f,
CWS,CRETAN,CRETAN WINGS,GREECE,f,
CWX,CROW EXPRESS,"CROW EXECUTIVE AIR, INC. (MILLBURY, OH)",UNITED STATES,f,
CWY,CAUSEWAY,WOODGATE AVIATION (NI) LTD.,UNITED KINGDOM,f,
CWZ,CAPWINGS,"CAPITOL WINGS AIRLINE, INC. (AUSTIN, TX)",UNITED STATES,f,
CXA,XIAMEN AIR,XIAMEN AIRLINES,CHINA,f,
CXB,STARLUX,COMLUX ARUBA,NETHERLANDS,f,
CXE,CAICOS,CAICOS EXPRESS AIRWAYS,UNITED KINGDOM,f,
CXF,CARDS FLIGHT,VCAP AVIATION LLC,UNITED STATES,f,
CXI,TOURISTIC,CORENDON AIRLINES EUROPE,MALTA,f,
CXK,CAREER TRACK,ATP FLIGHT SCHOOL,UNITED STATES,f,
CXN,STRONG AIR,CHINA SOUTHERN AIRLINES XIONG AN AIRLINES COMPANY LIMITED,CHINA,f,
CXS,CLIPPER CONNECTION,"BOSTON-MAINE AIRWAYS (PORTSMOUTH, NH)",UNITED STATES,f,
CXT,COASTAL,"COASTAL AIR TRANSPORT (CHRISTIANSTED, ST. CROIX)",UNITED STATES,f,
CYA,CHEYENNE AIR,"CHEYENNE AIRWAYS, INC. (CHEYENNE, WY)",UNITED STATES,f,
CYC,CIRCADIAN,CIRCADIAN AVIATION LLC,UNITED STATES,f,
CYE,SAKIRA,ORDOS GENERAL AVIATION CO. LTD.,CHINA,f,
CYF,TUS AIR,TUS AIRWAYS,CYPRUS,f,
CYH,YUHAO,CHINA SOUTHERN AIRLINES HENAN CO. LTD,CHINA,f,
CYL,CITYLINER,ALITALIA CITYLINER S.P.A.,ITALY,f,
CYN,COLOR JET,"COLORFUL YUNNAN GENERAL AVIATION CO., LTD.",CHINA,f,
CYO,COYOTE,ATI JET INC,UNITED STATES,f,
CYP,CYPRUS,CYPRUS AIRWAYS,CYPRUS,f,
CYT,CRYSTAL AIR,CRYSTAL AIR,UNITED STATES,f,
CYZ,CHINA POST,CHINA POSTAL AIRLINES LTD,CHINA,f,
DAA,DECUR,"DECATUR AVIATION, INC. (DECATUR, IL)",UNITED STATES,f,
DAC,DOMINION AIR,DOMINION AIR LTD.,NIGERIA,f,
DAD,DEWAN EXPRESS,AIR EXPRESS (PVT) LTD,PAKISTAN,f,
DAE,YELLOW,"DHL AERO EXPRESO, S.A.",PANAMA,f,
DAF,DANISH AIRFORCE,DANISH AIR FORCE,DENMARK,f,
DAH,AIR ALGERIE,AIR ALGERIE,ALGERIA,f,
DAI,DENA,DENA AIRWAYS,IRAN (ISLAMIC REPUBLIC OF),f,
DAK,DUCK AIRWAYS,4 AIRWAYS,MALTA,f,
DAL,DELTA,"DELTA AIR LINES, INC.",UNITED STATES,f,
DAN,DANACO,DANA AIRLINES LIMITED,NIGERIA,f,
DAP,DAP,AEROVIAS DAP,CHILE,f,
DAR,DANISH ARMY,DANISH ARMY,DENMARK,f,
DAS,TYLOS,DELMUN AVIATION SERVICES,BAHRAIN,f,
DAT,DAUNTLESS,LYNX AIR (1263343 ALBERTA INC.),CANADA,f,
DAV,DANA AIR,DORNIER AVIATION NIGERIA AIEP LTD,NIGERIA,f,
DAY,DAYA,DAYA AVIATION (PVT) LTD,SRI LANKA,f,
DAZ,DEZERT AIR,DESERT AIR TRANSPORT INC,UNITED STATES,f,
DBA,DOUBLE-A,"AIR ALPHA, INC. (CINCINNATI, OH)",UNITED STATES,f,
DBC,DIAMOND BACK,"GEMINI AIR GROUP, INC. (SCOTTSDALE, AZ)",UNITED STATES,f,
DBJ,DUCHESS,DUCHESS OF BRITTANY (JERSEY) LTD,UNITED KINGDOM,f,
DBP,AFRICAN,COMPAGNIE AFRICAINE D'AVIATION (CAA),DEMOCRATIC REPUBLIC OF THE CONGO,f,
DBT,STAR SHIP,DBT-TRANSPORTES AEREOS LDA (DB AVIATION),PORTUGAL,f,
DCA,DELCARIBE,"AEROTAXI DEL CARIBE, S. DE R.L. DE C.V.",MEXICO,f,
DCC,CARICARGO,CARIBBEAN AIR CARGO,BARBADOS,f,
DCD,DUCARD,AIR26 S.A.,ANGOLA,f,
