Orig,Route String,Dest,Hours1,Hours2,Hours3,Type,Area,Altitude,Aircraft,Direction,Seq,DCNTR,ACNTR
LPC,LPC RZS V186 ADAMM V394 SLI FUL,FUL,,,,TEC,SBP SMX VBG LPC IZA TO FUL LGB SLI TOA,PQ70,,SBAP40,1,ZLA,ZLA
LPC,LPC RZS VTU V208 SXC SLI FUL,FUL,,,,TEC,SBP SMX VBG LPC IZA TO FUL LGB SLI TOA SNA HHR,J110M90,,SBAP43,2,ZLA,ZLA
LPC,LPC RZS VTU V208 SXC SLI HHR,HHR,,,,TEC,SBP SMX VBG LPC IZA TO FUL LGB SLI TOA SNA HHR,J110M90,,SBAP43,1,ZLA,ZLA
LPC,LPC RZS VTU V299 SADDE V107 SMO SMO125/013 POPPR V23 SLI HHR,HHR,,,,TEC,SBP SMX VBG LPC IZA TO HHR,MPQ70,,SBAP42,2,ZLA,ZLA
LPC,LPC RZS V186 ELMOO HHR,HHR,,,,TEC,SBP SMX VBG LPC IZA TO HHR (LAXE),MPQ70,,SBAP44,3,ZLA,ZLA
LPC,LPC RZS V186 NIKKL HMT,HMT,,,,TEC,SBP SMX VBG LPC IZA TO HMT,PQ70,,SBAP53,1,ZLA,ZLA
LPC,LPC RZS V386 FIM V186 ITSME V264 POM V197 PDZ V186 NIKKL HMT,HMT,,,,TEC,SBP SMX VBG LPC IZA TO HMT,J110M90,,SBAP54,2,ZLA,ZLA
LPC,LPC RZS V186 PDZ L65,L65,,,,TEC,SBP SMX VBG LPC IZA TO CNO EMT REI L65 AJO POC ONT RAL RIR RIV SBD,PQ70,,SBAP51,1,ZLA,ZLA
LPC,LPC RZS V186 ROBNN V458 OCN LAX,LAX,,,,TEC,SBP SMX VBG LPC IZA TO CRQ NFG NKX OKB (LAXE),PQ70,,SBAP60,1,ZLA,ZLA
LPC,LPC RZS VTU SADDE8 LAX,LAX,,,,TEC,SBP SMX VBG LPC IZA TO LAX,JM110PQ70,,SBAP45,3,ZLA,ZLA
LPC,LPC RZS VTU V25 EXERT LAX,LAX,,,,TEC,SBP SMX VBG LPC IZA TO LAX (LAXE),JM70PQ50,,SBAP46,4,ZLA,ZLA
LPC,LPC RZS V186 ADAMM V394 SLI LGB,LGB,,,,TEC,SBP SMX VBG LPC IZA TO FUL LGB SLI TOA,PQ70,,SBAP40,1,ZLA,ZLA
LPC,LPC RZS VTU V208 SXC SLI LGB,LGB,,,,TEC,SBP SMX VBG LPC IZA TO FUL LGB SLI TOA SNA HHR,J110M90,,SBAP43,2,ZLA,ZLA
LPC,LPC RZS V597 MZB MYF,MYF,,,,TEC,SBP SMX VBG LPC IZA TO MYF NRS NZY SAN SDM SEE,PQ90,,SBAP62,1,ZLA,ZLA
LPC,LPC RZS V186 HAILE V66 MZB MYF,MYF,,,,TEC,SBP SMX VBG LPC IZA TO MYF NRS NZY SAN SDM SEE (LAXE),PQ70,,SBAP63,2,ZLA,ZLA
LPC,LPC RZS VTU V208 SXC V208 HUBRD CARDI MZB MYF,MYF,,,,TEC,SBP SMX VBG LPC IZA TO MYF NRS NZY SAN SDM SEE,J110M90,,SBAP64,3,ZLA,ZLA
LPC,LPC RZS V597 OCN NFG,NFG,,,,TEC,SBP SMX VBG LPC IZA TO CRQ NFG NKX OKB,PQ90,,SBAP59,1,ZLA,ZLA
LPC,LPC RZS V186 ROBNN V458 OCN NFG,NFG,,,,TEC,SBP SMX VBG LPC IZA TO CRQ NFG NKX OKB (LAXE),PQ70,,SBAP60,2,ZLA,ZLA
LPC,LPC RZS VTU V208 SXC V208 OCN NFG,NFG,,,,TEC,SBP SMX VBG LPC IZA TO CRQ NFG NKX OKB,J110M90,,SBAP61,3,ZLA,ZLA
LPC,LPC RZS V597 OCN NKX,NKX,,,,TEC,SBP SMX VBG LPC IZA TO CRQ NFG NKX OKB,PQ90,,SBAP59,1,ZLA,ZLA
LPC,LPC RZS V186 ROBNN V458 OCN NKX,NKX,,,,TEC,SBP SMX VBG LPC IZA TO CRQ NFG NKX OKB (LAXE),PQ70,,SBAP60,2,ZLA,ZLA
LPC,LPC RZS VTU V208 SXC V208 OCN NKX,NKX,,,,TEC,SBP SMX VBG LPC IZA TO CRQ NFG NKX OKB,J110M90,,SBAP61,3,ZLA,ZLA
LPC,LPC RZS V597 MZB NRS,NRS,,,,TEC,SBP SMX VBG LPC IZA TO MYF NRS NZY SAN SDM SEE,PQ90,,SBAP62,1,ZLA,ZLA
LPC,LPC RZS V186 HAILE V66 MZB NRS,NRS,,,,TEC,SBP SMX VBG LPC IZA TO MYF NRS NZY SAN SDM SEE (LAXE),PQ70,,SBAP63,2,ZLA,ZLA
LPC,LPC RZS VTU V208 SXC V208 HUBRD CARDI MZB NRS,NRS,,,,TEC,SBP SMX VBG LPC IZA TO MYF NRS NZY SAN SDM SEE,J110M90,,SBAP64,3,ZLA,ZLA
LPC,LPC RZS VTU NTD,NTD,,,,TEC,SBP SMX VBG LPC IZA TO OXR CMA NTD,JMPQ70,,SBAP70,1,ZLA,ZLA
LPC,LPC RZS V597 MZB NZY,NZY,,,,TEC,SBP SMX VBG LPC IZA TO MYF NRS NZY SAN SDM SEE,PQ90,,SBAP62,1,ZLA,ZLA
LPC,LPC RZS V186 HAILE V66 MZB NZY,NZY,,,,TEC,SBP SMX VBG LPC IZA TO MYF NRS NZY SAN SDM SEE (LAXE),PQ70,,SBAP63,2,ZLA,ZLA
LPC,LPC RZS VTU V208 SXC V208 HUBRD CARDI MZB NZY,NZY,,,,TEC,SBP SMX VBG LPC IZA TO MYF NRS NZY SAN SDM SEE,J110M90,,SBAP64,3,ZLA,ZLA
LPC,LPC RZS V597 OCN OKB,OKB,,,,TEC,SBP SMX VBG LPC IZA TO CRQ NFG NKX OKB,PQ90,,SBAP59,1,ZLA,ZLA
LPC,LPC RZS V186 ROBNN V458 OCN OKB,OKB,,,,TEC,SBP SMX VBG LPC IZA TO CRQ NFG NKX OKB (LAXE),PQ70,,SBAP60,2,ZLA,ZLA
LPC,LPC RZS VTU V208 SXC V208 OCN OKB,OKB,,,,TEC,SBP SMX VBG LPC IZA TO CRQ NFG NKX OKB,J110M90,,SBAP61,3,ZLA,ZLA
LPC,LPC RZS V186 PDZ ONT,ONT,,,,TEC,SBP SMX VBG LPC IZA TO CNO EMT REI L65 AJO POC ONT RAL RIR RIV SBD,PQ70,,SBAP51,1,ZLA,ZLA
LPC,LPC RZS VTU OXR,OXR,,,,TEC,SBP SMX VBG LPC IZA TO OXR CMA NTD,JMPQ70,,SBAP70,1,ZLA,ZLA
LPC,LPC RZS V186 PDZ POC,POC,,,,TEC,SBP SMX VBG LPC IZA TO CNO EMT REI L65 AJO POC ONT RAL RIR RIV SBD,PQ70,,SBAP51,1,ZLA,ZLA
LPC,LPC RZS V386 FIM V186 ITSME V264 POM V197 PDZ V186 NIKKL V64 TRM PSP PSP,PSP,,,,TEC,SBP SMX VBG LPC IZA TO PSP UDD TRM,PQ110,,SBAP71,1,ZLA,ZLA
LPC,LPC RZS V186 PDZ RAL,RAL,,,,TEC,SBP SMX VBG LPC IZA TO CNO EMT REI L65 AJO POC ONT RAL RIR RIV SBD,PQ70,,SBAP51,1,ZLA,ZLA
LPC,LPC RZS V186 PDZ REI,REI,,,,TEC,SBP SMX VBG LPC IZA TO CNO EMT REI L65 AJO POC ONT RAL RIR RIV SBD,PQ70,,SBAP51,1,ZLA,
LPC,LPC RZS V186 PDZ RIR,RIR,,,,TEC,SBP SMX VBG LPC IZA TO CNO EMT REI L65 AJO POC ONT RAL RIR RIV SBD,PQ70,,SBAP51,1,ZLA,ZLA
LPC,LPC RZS V186 PDZ RIV,RIV,,,,TEC,SBP SMX VBG LPC IZA TO CNO EMT REI L65 AJO POC ONT RAL RIR RIV SBD,PQ70,,SBAP51,1,ZLA,ZLA
LPC,LPC RZS V386 FIM V186 ITSME V264 POM V197 PDZ RIV,RIV,,,,TEC,SBP SMX VBG LPC IZA TO CNO EMT REI L65 AJO POC ONT RAL RIR RIV SBD,J110M90,,SBAP52,2,ZLA,ZLA
LPC,LPC RZS V597 OCN V208 JLI RNM,RNM,,,,TEC,SBP SMX VBG LPC IZA TO RNM,PQ90,,SBAP67,1,ZLA,ZLA
LPC,LPC RZS V186 ROBNN V208 JLI RNM,RNM,,,,TEC,SBP SMX VBG LPC IZA TO RNM (LAXE),PQ70,,SBAP68,2,ZLA,ZLA
LPC,LPC RZS VTU V208 JLI RNM,RNM,,,,TEC,SBP SMX VBG LPC IZA TO RNM,J110M90,,SBAP69,3,ZLA,ZLA
